productId,brandId,productName,price,originalPrice,priceDiscount,activityDiscount,discount,activityStock,stock,sellNum,timeLabel,activityId,activityProductId,categoryId,thirdCategoryId
p16068157,13558,shu uemura植村秀旅遊明星底妝組合,635,,,,,0,2,1,,,,3013,1141
p15823915,10131,GIVENCHY紀梵希高定香榭粉絲絨唇膏N10 3.4g,360,,,,,0,2,3,,,,3016,2195
p15895898,31845,YSL聖羅蘭黑管啞光唇釉-202  5.5ML,390,,,,,0,2,1,,,,3016,2197
p15913044,12290,Giorgio Armani阿瑪尼魅力持色唇釉-560,380,,,,,0,2,4,,,,3016,2197
p15895893,12290,Giorgio Armani阿瑪尼紅管唇釉-142,380,,,,,0,3,6,,,,3016,2197
p15736293,10085,BOBBI BROWN芭比波朗腮紅刷,490,,,,,0,2,16,,,,3012,2278
p15881901,10103,Clinique倩碧高效防水睫毛膏01-8ML,230,,,,,0,3,5,,,,3038,2203
p15845263,10123,Estee Lauder雅詩蘭黛絕色由我緞光唇膏862 3.5g,340,,,,,0,3,4,,,,3016,2195
p15886981,10123,Estee Lauder雅詩蘭黛絕色由我絨霧唇膏128,265,,,,,0,3,5,,,,3016,2195
p15889826,31163,RITUALS白色羅勒車載香氛-3g*2,260,,,,,0,11,68,,,,3037,1525
p15830813,31845,YSL聖羅蘭自由至上香髮噴霧 30ml,485,,,,,0,5,62,,,,3037,2352
p15737560,14721,JO MALONE祖·瑪瓏香氛蠟燭(牡丹與胭紅麂絨香型) 200g,555,,,,,0,4,48,,,,3037,1525
p15828392,15063,THANN庭潤繽紛果園精油50ml,505,,,,,0,8,10,,,,3037,1525
p15948959,31163,RITUALS阿姆斯特丹系列小號藤條香薰,195,,,,,0,6,22,,,,3037,1525
p15793223,14721,JO MALONE祖瑪瓏香氛蠟燭(月光花香型)200g,555,,,,,0,5,68,,,,3037,1525
p15949231,31163,RITUALS櫻花儀式藤條香薰,355,,,,,0,6,,,,,3037,1525
p15948962,31163,RITUALS阿姆斯特丹系列藤條香薰,365,,,,,0,5,15,,,,3037,1525
p15949223,31163,RITUALS麂絨香草藤條香薰,625,,,,,0,6,1,,,,3037,1525
p15949229,31163,RITUALS皇家清茶藤條香薰,625,,,,,0,6,1,,,,3037,1525
p15949235,31163,RITUALS白色羅勒藤條香薰,625,,,,,0,4,2,,,,3037,1525
p15890287,31163,RITUALS皇家清茶藤條香薰,625,,,,,0,4,40,,,,3037,1525
p15844006,31845,YSL聖羅蘭自由至上女士香水套裝,1655,,,,,0,4,19,,,,3037,1145
p15825226,14721,JO MALONE London祖瑪瓏古龍水-絲絨玫瑰與烏木-100ML,1675,,,,,0,3,7,,,,3037,2352
p15890284,31163,RITUALS皇家清茶香薰蠟燭,435,,,,,0,2,18,,,,3037,1525
p15742726,14721,JO MALONE祖·瑪瓏杏桃花與蜂蜜香水 30ml  C030076,630,,,,,0,3,20,,,,3037,3204
p15793222,14721,JO MALONE祖瑪瓏滿室幽香香薰(月光花香型)165ml,770,,,,,0,1,30,,,,3037,1525
p15875894,14721,JO MALONE LONDON祖瑪瓏香水（英國梨與香豌豆香型）30ml,630,,,,,0,2,9,,,,3037,2352
p15737524,14721,JO MALONE祖·瑪瓏香水（英國橡樹與榛果香型）30ml,630,,,,,0,2,13,,,,3037,3204
p15737554,14721,JO MALONE祖·瑪瓏香水(忍冬與印蒿香型)100ML,1315,,,,,0,2,10,,,,3037,3204
p15740019,14721,JO MALONE祖·瑪瓏香水(銀樺與薰衣草香型)100ml,1315,,,,,0,3,4,,,,3037,2352
p15825537,14721,JO MALONE LONDON 祖瑪瓏古龍水-晚香玉與天使草古龍-50ML,1165,,,,,0,3,3,,,,3037,3204
p15737242,14721,JO MALONE祖·瑪瓏香氛蠟燭(紅玫瑰香型),555,,,,,0,2,13,,,,3037,1525
p15896493,14721,JO MALONE祖瑪瓏護手霜（牡丹與胭紅麂絨香型）,190,,,,,0,12,28,,,,3028,2264
p15914177,31046,AHAVA死海植萃身體補水膏 350ml,256,,,,,0,14,8,,,,3028,2269
p15952391,100387,Rerise回麗絲天然植萃護染膏 (深棕色),240,,,,,0,11,1,,,,3034,2231
p15737372,13105,fresh馥蕾詩睡蓮瑰麗香皂  250g,175,,,,,0,11,36,,,,3028,1109
p15736927,31876,AVEDA三重修復草本滋潤髮膜450ml,860,,,,,0,7,29,,,,3034,2231
p15869743,31163,RITUALS梵心儀式身體磨砂膏-300G,195,,,,,0,7,100+,,,,3028,1109
p15913737,31046,AHAVA礦物水潤護手霜100ml,178,,,,,0,11,2,,,,3028,2264
p15832459,13105,fresh馥蕾詩沁甜荔枝香身體乳 300ml,295,,,,,0,11,43,,,,3028,2269
p15914173,31046,AHAVA礦物保濕身體乳 250ml,242,,,,,0,9,,,,,3028,2269
p15943003,31163,RITUALS靜儀式舒心香氛皂,145,,,,,0,8,1,,,,3028,1115
p15870221,31163,RITUALS梵心儀式護手霜-70ML,135,,,,,0,9,76,,,,3028,2264
p15832833,13105,fresh馥蕾詩沁甜荔枝香沐浴露 300ml,270,,,,,0,3,42,,,,3028,2268
p15809683,31876,AVEDA 艾凡達頭皮護理噴霧-100ML,315,,,,,0,5,30,,,,3034,3142
p15849732,13105,fresh馥蕾詩鈴蘭茉莉香身體乳-300ML,295,,,,,0,6,21,,,,3028,2269
p15949218,31163,RITUALS阿姆斯特丹系列身體乳霜220ML,295,,,,,0,6,1,,,,3028,2269
p15914176,31046,AHAVA死海礦物柔潤磨砂鹽 220g,242,,,,,0,5,2,,,,3028,1109
p15739435,31876,AVEDA長效營養補濕洗髮水 - 滋潤配方250ml,290,,,,,0,2,58,,,,3034,1103
p15914172,31046,AHAVA海之吻礦物身體乳 200ml,242,,,,,0,5,2,,,,3028,2269
p15913733,31046,AHAVA海之吻礦物舒潤護手霜 100ml,178,,,,,0,5,2,,,,3028,2264
p15736048,10120,Elizabeth Arden伊麗莎白雅頓白茶身體霜 400ML,259,,,,,0,6,42,,,,3028,2269
p15736495,14721,JO MALONE祖·瑪瓏沐浴露（青檸羅勒與柑橘香型）,405,,,,,0,5,14,,,,3028,2268
p15736918,14721,JO MALONE祖·瑪瓏沐浴露（鼠尾草與海鹽香型）,405,,,,,0,2,46,,,,3028,2268
p15913734,31046,AHAVA礦物保濕護足霜 100ml,172,,,,,0,4,4,,,,3028,2269
p15866270,31876,Aveda升級版強效豐盈防掉套裝200ml+200ml+150ml+100ml,1380,,,,,0,4,30,,,,3034,1103
p15742439,10120,Elizabeth Arden伊麗莎白雅頓8小時經典潤澤霜 50ml,171,,,,,0,4,22,,,,3028,2269
p15741052,31876,AVEDA ROSEMARY MINT 薄荷迷迭香護髮素1000ml,640,,,,,0,2,34,,,,3034,2254
p15736384,14721,JO MALONE祖·瑪瓏青檸羅勒葉與柑橘潤膚乳液,545,,,,,0,3,13,,,,3028,2269
p15737313,31876,AVEDA SHAMPURE純香護髮素250ml,205,,,,,0,2,22,,,,3034,2254
p15735874,10120,Elizabeth Arden伊麗莎白雅頓經典潤澤護手霜 75ml,181,,,,,0,3,23,,,,3028,2264
p15914170,31046,AHAVA死海礦物鹽水液 200ml,206,,,,,0,2,8,,,,3028,1115
