goodsID,goodsCode,leFoxID,chineseBrandName,englishBrandName,goodsName,goodsSubName,backstageCategory,price,originalPrice,costPrice,buyPrice,lowestPrice,lowestPriceText,stock,onSale,purchaseTypeId,purchaseModeType,timestamp,source,actualPrice,msrp
694cc3099cc20b00019bf4e7,20113821,4874820,雪花秀,Sulwhasoo,玉璨净颜面膜两支装,,美妆护肤-面部护肤-面膜,273,428.0,428.0,273,,,9999,True,0,,,pvg,273.0,428.0
694cc20f56e4f10001019e6d,20108825,4869907,资生堂,SHISEIDO,肌源焕活精萃水（滋润型）,150ml,美妆护肤-面部护肤-爽肤水/化妆水,273,367.0,367.0,273,,,9999,True,0,,,pvg,273.0,367.0
694cc3b65b103b0001df32fb,20117245,4878196,朗仕,LAB SERIES,控油焕肤保湿乳,50ml,美妆护肤-男士护肤-男士面部护理,276,322.0,322.0,276,,,9999,True,0,,,pvg,276.0,322.0
694cc31c5b103b0001df1d90,20114239,4875214,芭比波朗,BOBBI BROWN,新羽柔定妆蜜粉饼,1 淡金 PALE YELLOW/9g,美妆护肤-面部彩妆-粉饼,304,276.0,276.0,304,,,9999,True,0,,,pvg,276.0,304.0
694cc2005b103b0001abcf79,20108403,4869555,卡诗,KERASTASE,新防脱发喷雾,125ml,个护家清-美发护发-护发,280,373.0,373.0,280,,,9999,True,0,,,hair,280.0,373.0
6972e7c5891e96000151936a,20119298,5039452,欧舒丹,L'OCCITANE,甜蜜樱花香氛身体乳,500ml,个护家清-身体护理-润肤乳,280,410.0,410.0,280,,,9999,True,0,,,bodylotion,280.0,410.0
694cc2a9f52aff00011240ed,20111678,4872892,朗仕,LAB SERIES,多功能柔珠洁面乳,200ml,美妆护肤-男士护肤-男士洁面,280,333.0,333.0,280,,,9999,True,0,,,pvg,280.0,333.0
694cc3b0f52aff0001126bb8,20117203,4878057,悦木之源,ORIGINS,苹果肌青春精华霜  ,50ml,美妆护肤-面部护肤-乳液面霜,280,333.0,333.0,280,,,9999,True,0,,,cream,280.0,333.0
6972e70d5bac8d0001507103,20116385,5036624,科颜氏,KIEHLS,金盏花舒缓平衡乳液,125ml,美妆护肤-面部护肤-乳液面霜,280,366.0,366.0,280,,,9999,True,0,,,cream,280.0,366.0
694cc3def52aff0001127393,20118094,4879030,雪花秀,Sulwhasoo,滋盈琉光紧致霜,75ml,美妆护肤-面部护肤-乳液面霜,379,587.0,587.0,282,,,9999,True,0,,,cream,282.0,587.0
694cc35956e4f1000101d55d,20115507,4876362,祖·玛珑,JO MALONE LONDON,乌木与佛手柑沐浴露 ,250ml,个护家清-身体护理-沐浴露,390,283.0,283.0,390,,,9999,True,0,,,bodywash,283.0,390.0
698b312e39f57c0001b6648f,20113293,5118977,娇韵诗,CLARINS,沁润奇肌保湿滋润面霜,50ml,美妆护肤-面部护肤-乳液面霜,285,415.0,415.0,285,,,9999,True,0,,,cream,285.0,415.0
694cc3b79cc20b00019c1057,20117266,4878213,倩碧,CLINIQUE,天才黄油有油款,200ml,美妆护肤-面部护肤-乳液面霜,285,336.0,336.0,285,,,9999,True,0,,,cream,285.0,336.0
694cc2e85b103b0001aead10,20113291,4874180,娇韵诗,CLARINS,沁润奇肌保湿水感凝露,75ml,美妆护肤-面部护肤-乳液面霜,285,415.0,415.0,285,,,9999,True,0,,,cream,285.0,415.0
694cc2b15b103b0001aea387,20112128,4873096,娇韵诗,CLARINS,莲花舒颜护理油,30ml,美妆护肤-面部护肤-其它面部护肤,285,400.0,400.0,285,,,9999,True,0,,,pvg,285.0,400.0
694cc2739cc20b00019bd9df,20110672,4871830,卡诗,KERASTASE,赋源芯丝头皮防脱精华液,90ml,个护家清-美发护发-护发,285,397.0,397.0,285,,,9999,True,0,,,hair,285.0,397.0
694cc307f52aff0001125109,20114129,4874800,倩碧,CLINIQUE,【水磁场乳霜】水嫩保湿修护面霜,75ml,美妆护肤-面部护肤-乳液面霜,395,285.0,285.0,395,,,9999,True,0,,,cream,285.0,395.0
694cc2e09cc20b00019bedc6,20112868,4873992,科颜氏,KIEHLS,高保湿面霜,150ml,美妆护肤-面部护肤-乳液面霜,530,590.0,590.0,287,,,9999,True,0,,,cream,287.0,590.0
694cc2ad56e4f1000101b86e,20111742,4872998,黛珂,DECORTÉ,沁活晶澈精华霜,49ml,美妆护肤-面部护肤-乳液面霜,288,384.0,384.0,288,,,9999,True,0,,,cream,288.0,384.0
