product_id,activity_product_id,brand_id,brand,brand_en,name,category,subcategory,price,original_price,discount,stock,activity_stock,sell_num,activity_id,activity_type,catalog_id,sku
p15875291,504207832.0,10174,魅可,MAC,MAC魅可定制柔雾保湿粉(饼盒),3021,2201,58,105.0,5.5,1,1,1,500022953.0,3,c85714127,C045105
p15870914,504207833.0,10174,魅可,MAC,MAC魅可24HR KAJAL眼線筆Extreme Black (8g),3038,3623,69,125.0,5.5,1,1,6,500022953.0,3,c85708490,C115456
p15896476,504207835.0,10174,魅可,MAC,MAC魅可空氣唇蜜220 5ml,3016,2197,124,190.0,6.5,1,1,1,500022953.0,3,c85739664,C117735
p15893782,504207840.0,15063,庭潤,THANN,THANN庭潤迷情伯爵散香器-150ML,3037,1525,261,450.0,5.8,1,1,8,500022953.0,3,c85737098,C056536
p15839487,504207774.0,12469,湯姆福特,TOM FORD,TOM FORD湯姆福特柔霧緞采唇膏 3.3g,3016,2195,268,490.0,5.5,2,2,7,500022953.0,3,c85667169,C105173
p15737346,504207845.0,12469,湯姆福特,TOM FORD,TOM FORD 至奢賦活精華面霜50ml/ 1.7 fl.OZ,3022,1093,1957,3155.0,6.2,1,1,,500022953.0,3,c85550108,C047986
p15740557,,31876,艾梵達,AVEDA,AVEDA三重修復草本護髮素200ml,3034,2254,340,,,2,0,37,,0,c85552547,C051940
p15875689,504208029.0,100064,自然堂,CHANDO,CHANDO自然堂喜馬拉雅茶泥淨顏清潔面膜(免稅店)100g*2支裝,3022,1100,137,249.0,5.5,1,1,13,500022953.0,3,c85715022,IN100389
p15875682,504208290.0,100064,自然堂,CHANDO,CHANDO自然堂雪肌追光煥白緊致面霜55g,3022,1093,180,390.0,4.6,1,1,2,500022953.0,3,c85714712,IN100330
p15875683,504208030.0,100064,自然堂,CHANDO,CHANDO自然堂金鑽微雕抗皺緊致悅享三件套(水乳精)200ml+110ml+50ml+60ml+5g,3022,1100,742,1581.0,4.7,1,1,2,500022953.0,3,c85715018,IN100380
p15893910,504208310.0,31883,歐緹麗,CAUDALIE,Caudalie歐緹麗葡萄籽抗氧身體防曬噴霧-SPF30-150ML,3022,1092,171,310.0,5.5,1,1,2,500022953.0,3,c85736933,C118048
p15831428,504207853.0,12290,喬治阿瑪尼,GIORGIO ARMANI-香化,GIORGIO ARMANI 阿瑪尼密碼男士淡香水 125ml,3037,2351,470,785.0,6.0,3,3,16,500022953.0,3,c85657619,C107506
p15741342,,31878,碧歐泉,BIOTHERM,BIOTHERM 碧歐泉男士城市防護隔離霜 30ml 舊包裝隨機髮貨,3022,1092,500,,,1,0,13,,0,c85555129,C031414
p15828390,504207866.0,10120,伊麗莎白·雅頓,ELIZABETH ARDEN,Elizabeth Arden伊麗莎白雅頓綠茶柚子小蒼蘭香水50ml,3037,2352,118,260.0,4.5,1,1,3,500022953.0,3,c85653075,C107072
p15871721,504207872.0,10120,伊麗莎白·雅頓,ELIZABETH ARDEN,ELIZABETH ARDEN伊麗莎白·雅頓綠茶椰子淡香水50ML,3037,2352,117,260.0,4.5,1,1,1,500022953.0,3,c85709373,C114902
p15876391,504212961.0,10131,紀梵希,Givenchy,GIVENCHY 紀梵希明星四宮格柔霧散粉,3021,2214,306,565.0,5.4,39,39,200+,500023044.0,1,c85715623,C113678
p15884410,504207874.0,10131,紀梵希,Givenchy,GIVENCHY紀梵希明星流光菁潤粉底液-1-5W 30ML,3021,2201,296,580.0,5.1,1,1,2,500022953.0,3,c85725321,C117487
p15821710,,10131,紀梵希,Givenchy,GIVENCHY紀梵希黑能臻萃潔面乳 125ml,3022,1088,830,,,2,0,9,,0,c85643779,C106514
p15825241,504213181.0,10131,紀梵希,Givenchy,GIVENCHY紀梵希高定甜潤唇膏2.8g,3016,2195,150,330.0,4.5,5,5,22,500023044.0,1,c85659607,C103646
p15736318,,10123,雅诗兰黛,ESTEE LAUDER,ESTEE LAUDER  雅詩蘭黛 Re-Nutriv Ultimate Lift Regenerating  Youth 白金級花菁萃緊顏精華滋養面霜 50ml,3022,1093,2755,,,1,0,7,,0,c85548594,C055377
p15830822,504213126.0,10123,雅詩蘭黛,ESTEE LAUDER,ESTEE LAUDER雅詩蘭黛絕色由我緞光唇膏3.5g,3016,2195,182,360.0,5.1,3,3,11,500023044.0,1,c85656144,C105787
